"fips","county_name","year","month","fecund_population","birth_count","date","days_in_month","days_in_year","stage_id","birth_rate_monthly","birth_rate"
"40017","canadian",1998,2,18799,70,1998-02-15,28,365,2,3.9752399341246,51.8200919984099
"40017","canadian",1998,3,18804,92,1998-03-15,31,365,2,5.22460105627804,61.5154640497253
"40017","canadian",1998,4,18808,103,1998-04-15,30,365,2,5.84928161735476,71.1662596778163
"40017","canadian",1998,5,18811,96,1998-05-15,31,365,2,5.4517576239423,64.1900494431916
"40017","canadian",1998,6,18816,88,1998-06-15,30,365,2,4.99744448861378,60.8022412781343
"40017","canadian",1998,7,18820,99,1998-07-15,31,365,2,5.6221250496905,66.1959884882914
"40017","canadian",1998,8,18823,103,1998-08-15,31,365,2,5.84928161735476,68.8705738817577
"40017","canadian",1998,9,18828,97,1998-09-15,30,365,2,5.50854676585837,67.0206523179435
"40017","canadian",1998,10,18832,72,1998-10-15,31,365,2,4.08881821795673,48.1425370823937
"40017","canadian",1998,11,18835,75,1998-11-15,30,365,2,4.25918564370492,51.8200919984099
"40017","canadian",1998,12,18840,87,1998-12-15,31,365,2,4.94065534669771,58.1722323078924
"40017","canadian",1999,1,18844,81,1999-01-15,31,365,2,4.59992049520132,54.1603542176929
"40017","canadian",1999,2,18862,83,1999-02-15,28,365,2,4.71349877903345,61.4438233695432
"40017","canadian",1999,3,18880,80,1999-03-15,31,365,2,4.54313135328525,53.4917078693263
"40017","canadian",1999,4,18898,75,1999-04-15,30,365,2,4.25918564370492,51.8200919984099
"40017","canadian",1999,5,18916,93,1999-05-15,31,365,2,5.28139019819411,62.1841103980919
"40017","canadian",1999,6,18934,80,1999-06-15,30,365,2,4.54313135328525,55.2747647983039
"40017","canadian",1999,7,18953,95,1999-07-15,31,365,2,5.39496848202624,63.521403094825
"40017","canadian",1999,8,18971,94,1999-08-15,31,365,2,5.33817934011017,62.8527567464585
"40017","canadian",1999,9,18989,94,1999-09-15,30,365,2,5.33817934011017,64.9478486380071
"40017","canadian",1999,10,19007,85,1999-10-15,31,365,2,4.82707706286558,56.8349396111592
"40017","canadian",1999,11,19025,82,1999-11-15,30,365,2,4.65670963711738,56.6566339182615
"40017","canadian",1999,12,19043,104,1999-12-15,31,365,2,5.90607075927083,69.5392202301243
"40027","cleveland",1990,1,46429,163,1990-01-15,31,365,1,3.51073682396778,41.3360948628464
"40027","cleveland",1990,2,46477,166,1990-02-15,28,365,1,3.57535161213896,46.6072620868115
"40027","cleveland",1990,3,46525,196,1990-03-15,31,365,1,4.22149949385083,49.7047521050178
"40027","cleveland",1990,4,46574,170,1990-04-15,30,365,1,3.66150466303388,44.5483067335789
"40027","cleveland",1990,5,46622,169,1990-05-15,31,365,1,3.63996640031015,42.8576689068776
"40027","cleveland",1990,6,46671,173,1990-06-15,30,365,1,3.72611945120507,45.334453322995
"40027","cleveland",1990,7,46719,215,1990-07-15,31,365,1,4.63072648560167,54.5230699111165
"40027","cleveland",1990,8,46767,203,1990-08-15,31,365,1,4.37226733291693,51.4799218230541
"40027","cleveland",1990,9,46816,170,1990-09-15,30,365,1,3.66150466303388,44.5483067335789
"40027","cleveland",1990,10,46864,187,1990-10-15,31,365,1,4.02765512933727,47.422391038971
"40027","cleveland",1990,11,46913,204,1990-11-15,30,365,1,4.39380559564066,53.4579680802946
"40027","cleveland",1990,12,46961,163,1990-12-15,31,365,1,3.51073682396778,41.3360948628464
"40027","cleveland",1991,1,47010,183,1991-01-15,31,365,1,3.94150207844235,46.4080083429503
"40027","cleveland",1991,2,47034,165,1991-02-15,28,365,1,3.55381334941524,46.3264954477343
"40027","cleveland",1991,3,47058,174,1991-03-15,31,365,1,3.74765771392879,44.1256472769035
"40027","cleveland",1991,4,47083,201,1991-04-15,30,365,1,4.32919080746947,52.6718214908785
"40027","cleveland",1991,5,47107,199,1991-05-15,31,365,1,4.28611428202201,50.4655391270334
"40027","cleveland",1991,6,47131,184,1991-06-15,30,365,1,3.96304034116608,48.2169908175207
"40027","cleveland",1991,7,47156,233,1991-07-15,31,365,1,5.01841521462879,59.0877920432099
"40027","cleveland",1991,8,47180,190,1991-08-15,31,365,1,4.09226991750845,48.1831780609866
"40027","cleveland",1991,9,47204,230,1991-09-15,30,365,1,4.9538004264576,60.2712385219008
"40027","cleveland",1991,10,47229,188,1991-10-15,31,365,1,4.049193392061,47.6759867129762
"40027","cleveland",1991,11,47253,170,1991-11-15,30,365,1,3.66150466303388,44.5483067335789
"40027","cleveland",1991,12,47277,217,1991-12-15,31,365,1,4.67380301104913,55.0302612591268
"40027","cleveland",1992,1,47302,210,1992-01-15,31,366,1,4.52303517198303,53.400995901477
"40027","cleveland",1992,2,47349,181,1992-02-15,29,366,1,3.8984255529949,49.2008190481425
"40027","cleveland",1992,3,47397,177,1992-03-15,31,366,1,3.81227250209998,45.0094108312449
"40027","cleveland",1992,4,47444,194,1992-04-15,30,366,1,4.17842296840337,50.9767602145211
"40027","cleveland",1992,5,47492,179,1992-05-15,31,366,1,3.85534902754744,45.5179917445923
"40027","cleveland",1992,6,47539,202,1992-06-15,30,366,1,4.3507290701932,53.078894656357
"40027","cleveland",1992,7,47587,194,1992-07-15,31,366,1,4.17842296840337,49.3323485946978
"40027","cleveland",1992,8,47635,205,1992-08-15,31,366,1,4.41534385836438,52.1295436181085
"40027","cleveland",1992,9,47682,195,1992-09-15,30,366,1,4.1999612311271,51.2395270197506
"40027","cleveland",1992,10,47730,173,1992-10-15,31,366,1,3.72611945120507,43.9922490045501
"40027","cleveland",1992,11,47777,164,1992-11-15,30,366,1,3.53227508669151,43.0937560576364
"40027","cleveland",1992,12,47825,182,1992-12-15,31,366,1,3.91996381571862,46.2808631146134
"40027","cleveland",1993,1,47873,173,1993-01-15,31,365,1,3.72611945120507,43.8720516028984
"40027","cleveland",1993,2,47927,154,1993-02-15,28,365,1,3.31689245945422,43.2380624178854
"40027","cleveland",1993,3,47981,201,1993-03-15,31,365,1,4.32919080746947,50.9727304750438
"40027","cleveland",1993,4,48035,163,1993-04-15,30,365,1,3.51073682396778,42.713964691608
"40027","cleveland",1993,5,48089,169,1993-05-15,31,365,1,3.63996640031015,42.8576689068776
"40027","cleveland",1993,6,48144,189,1993-06-15,30,365,1,4.07073165478472,49.5272351332141
"40027","cleveland",1993,7,48198,210,1993-07-15,31,365,1,4.52303517198303,53.2550915410905
"40027","cleveland",1993,8,48252,180,1993-08-15,31,365,1,3.87688729027117,45.6472213209347
"40027","cleveland",1993,9,48307,169,1993-09-15,30,365,1,3.63996640031015,44.2862578704402
"40027","cleveland",1993,10,48361,187,1993-10-15,31,365,1,4.02765512933727,47.422391038971
"40027","cleveland",1993,11,48415,177,1993-11-15,30,365,1,3.81227250209998,46.3826487755498
"40027","cleveland",1993,12,48469,179,1993-12-15,31,365,1,3.85534902754744,45.3936256469295
"40027","cleveland",1994,1,48524,181,1994-01-15,31,365,1,3.8984255529949,45.9008169949399
"40027","cleveland",1994,2,48555,150,1994-02-15,28,365,1,3.23073940855931,42.1149958615767
"40027","cleveland",1994,3,48586,165,1994-03-15,31,365,1,3.55381334941524,41.8432862108568
"40027","cleveland",1994,4,48617,186,1994-04-15,30,365,1,4.00611686661354,48.7410885437981
"40027","cleveland",1994,5,48648,167,1994-05-15,31,365,1,3.59688987486269,42.3504775588672
"40027","cleveland",1994,6,48679,198,1994-06-15,30,365,1,4.26457601929828,51.8856749014625
"40027","cleveland",1994,7,48710,199,1994-07-15,31,365,1,4.28611428202201,50.4655391270334
"40027","cleveland",1994,8,48741,179,1994-08-15,31,365,1,3.85534902754744,45.3936256469295
"40027","cleveland",1994,9,48772,174,1994-09-15,30,365,1,3.74765771392879,45.5965021861337
"40027","cleveland",1994,10,48803,198,1994-10-15,31,365,1,4.26457601929828,50.2119434530282
"40027","cleveland",1994,11,48834,179,1994-11-15,30,365,1,3.85534902754744,46.9067465018272
"40027","cleveland",1994,12,48865,197,1994-12-15,31,365,1,4.24303775657455,49.958347779023
"40027","cleveland",1995,1,48897,193,1995-01-15,31,365,1,4.15688470567964,48.9439650830022
"40027","cleveland",1995,2,48927,155,1995-02-15,28,365,1,3.33843072217795,43.5188290569626
"40027","cleveland",1995,3,48958,175,1995-03-15,31,365,1,3.76919597665252,44.3792429509087
"40027","cleveland",1995,4,48989,185,1995-04-15,30,365,1,3.98457860388981,48.4790396806594
"40027","cleveland",1995,5,49019,188,1995-05-15,31,365,1,4.049193392061,47.6759867129762
"40027","cleveland",1995,6,49050,217,1995-06-15,30,365,1,4.67380301104913,56.8646033010977
"40027","cleveland",1995,7,49081,206,1995-07-15,31,365,1,4.43688212108811,52.2407088450697
"40027","cleveland",1995,8,49111,200,1995-08-15,31,365,1,4.30765254474574,50.7191348010386
"40027","cleveland",1995,9,49142,188,1995-09-15,30,365,1,4.049193392061,49.2651862700755
"40027","cleveland",1995,10,49173,205,1995-10-15,31,365,1,4.41534385836438,51.9871131710645
"40027","cleveland",1995,11,49203,181,1995-11-15,30,365,1,3.8984255529949,47.4308442281046
"40027","cleveland",1995,12,49234,159,1995-12-15,31,365,1,3.42458377307286,40.3217121668257
"40027","cleveland",1996,1,49265,182,1996-01-15,31,366,1,3.91996381571862,46.2808631146134
"40027","cleveland",1996,2,49343,157,1996-02-15,29,366,2,3.38150724762541,42.6769535389965
"40027","cleveland",1996,3,49422,185,1996-03-15,31,366,2,3.98457860388981,47.0437344846345
"40027","cleveland",1996,4,49501,196,1996-04-15,30,366,2,4.22149949385083,51.5022938249801
"40027","cleveland",1996,5,49579,173,1996-05-15,31,366,2,3.72611945120507,43.9922490045501
"40027","cleveland",1996,6,49658,190,1996-06-15,30,366,2,4.09226991750845,49.9256929936031
"40027","cleveland",1996,7,49737,222,1996-07-15,31,366,2,4.78149432466777,56.4524813815614
"40027","cleveland",1996,8,49816,219,1996-08-15,31,366,2,4.71687953649659,55.6896100115403
"40027","cleveland",1996,9,49895,185,1996-09-15,30,366,2,3.98457860388981,48.6118589674557
"40027","cleveland",1996,10,49973,198,1996-10-15,31,366,2,4.26457601929828,50.3495104213926
"40027","cleveland",1996,11,50052,179,1996-11-15,30,366,2,3.85534902754744,47.0352581360787
"40027","cleveland",1996,12,50131,188,1996-12-15,31,366,2,4.049193392061,47.8066058546556
"40027","cleveland",1997,1,50210,187,1997-01-15,31,365,2,4.02765512933727,47.422391038971
"40027","cleveland",1997,2,50234,171,1997-02-15,28,365,2,3.68304292575761,48.0110952821974
"40027","cleveland",1997,3,50259,175,1997-03-15,31,365,2,3.76919597665252,44.3792429509087
"40027","cleveland",1997,4,50284,219,1997-04-15,30,365,2,4.71687953649659,57.3887010273751
"40027","cleveland",1997,5,50308,184,1997-05-15,31,365,2,3.96304034116608,46.6616040169555
"40027","cleveland",1997,6,50333,218,1997-06-15,30,365,2,4.69534127377286,57.1266521642364
"40027","cleveland",1997,7,50358,219,1997-07-15,31,365,2,4.71687953649659,55.5374526071372
"40027","cleveland",1997,8,50382,210,1997-08-15,31,365,2,4.52303517198303,53.2550915410905
"40027","cleveland",1997,9,50407,199,1997-09-15,30,365,2,4.28611428202201,52.1477237646011
